First Last,First,Last,Company,Domain
Loren Barham,Loren,Barham,Loren Hope Designs,www.lorenhope.com
Kristen Rivas Mccurdy,Kristen,Mccurdy,Arabesque Jewelry,www.arabesquejewelry.com
Tiffany Goodyear,Tiffany,Goodyear,Indy Facets,www.indyfacets.com
Joleen Brims,Joleen,Brims,The Bouncing Bead,www.thebouncingbead.com
Lee Dahlberg,Lee,Dahlberg,Rock Band Fashion Llc,www.leatherrockbands.com
Frasier Lipton,Frasier,Lipton,"Frasier Sterling, Inc.",www.frasiersterling.com
Benny De Kalo,Benny,Kalo,"Worthy, Inc.",www.worthy.com
Martin Katz,Martin,Katz,"The Martin A. Katz Company, Inc",www.martinkatz.com
Martin Foden,Martin,Foden,Safari Gold,www.safarigold.com
Michele Leary,Michele,Leary,Pierce Jewelers,www.piercejewelers.com
Robert Argo,Robert,Argo,Argo & Lehne Jewelers Inc,www.argolehne.com
Radhika Tandon,Radhika,Tandon,Isharya,www.isharya.com
Katie Melamed Diamond,Katie,Diamond,Katie Diamond Jewelry,www.katiediamondjewelry.com
Elizabeth Doyle,Elizabeth,Doyle,Doyle & Doyle,www.doyledoyle.com
Jeremy O'connor,Jeremy,O'connor,"Collectorsfolio, Llc",www.collectorsfolio.com
Sydney Evan Letrend,Sydney,Letrend,Sydney Evan,www.sydneyevan.com
Lisa Smith,Lisa,Smith,Huntington Fine Jewelers,www.huntingtonfinejewelers.com
Christian Sterling,Christian,Sterling,C Sterling Jewelers,www.csterlingjewelers.com
Lori Bonn Gallagher,Lori,Gallagher,Lori Bonn Design Inc,www.loribonn.com
Janna Conner,,,Janna Conner,www.jannaconner.com
